filename,timeofday,glare,weather,fog,road,traffic,scene
cabc30fc-e7726578.jpg,0,0,0,0,0,1,2
cabc30fc-eb673c5a.jpg,1,0,0,0,0,1,1
cabc30fc-fd79926f.jpg,0,0,0,0,0,1,2
cabc9045-1b8282ba.jpg,2,1,0,0,0,0,2
cabc9045-5a50690f.jpg,2,0,0,0,0,1,2
cabc9045-581f64de.jpg,2,0,0,0,0,0,2
cabc9045-b3349548.jpg,2,0,0,0,0,1,1
cabc9045-c6dc9529.jpg,2,1,0,0,0,0,2
cabc9045-cd422b81.jpg,2,0,0,0,0,0,2
cabc9045-d91ecb66.jpg,2,0,0,0,0,0,2
cabddb96-ca0ac856.jpg,1,0,0,0,0,2,0
cabe1040-5f02711e.jpg,1,0,3,0,0,1,2
cabe1040-c59cb390.jpg,1,0,4,0,0,1,2
cabea010-6882cf41.jpg,2,1,0,0,1,1,1
cabf7be1-36a39a28.jpg,1,0,1,0,0,1,2
cabf7be1-f1a7e00d.jpg,1,0,1,0,0,0,1
cabf9f3c-d58a6760.jpg,1,0,0,0,0,1,2
cac6a8d8-29780d2d.jpg,1,0,0,0,0,1,1
cac47e88-3227e13a.jpg,0,0,4,0,0,1,1
cac07407-0eb1c8bf.jpg,1,0,0,0,0,0,2
cac07407-15b814db.jpg,1,1,5,0,0,0,2
cac07407-76e4c968.jpg,1,1,0,0,0,0,1
cac07407-196cd6f8.jpg,1,0,0,0,0,1,1
cac07407-0396e053.jpg,1,0,0,0,0,2,2
cac07407-951977c8.jpg,1,0,0,0,0,2,0
cac07407-ba37148a.jpg,1,0,5,0,0,1,0
cac07407-bc0b048a.jpg,1,0,0,0,0,0,2
cac07407-e969f06a.jpg,1,1,0,0,0,0,1
cac07407-fe32e494.jpg,1,0,0,0,0,0,1
cac32276-2ea56b83.jpg,1,0,2,0,0,1,0
cac32276-a70feba7.jpg,1,0,5,0,0,1,2
cac32276-cf233a28.jpg,1,0,0,0,0,1,2
cac75967-8a9c164b.jpg,2,0,0,0,0,0,2
cace2484-cd478fab.jpg,1,0,0,0,0,1,2
cacfaddc-ce8105be.jpg,1,0,1,0,0,0,2
cad02f4a-dd2c4b41.jpg,1,0,2,0,0,2,2
cad4a646-68a8d136.jpg,2,0,0,0,0,0,2
cad7fdff-d9946f73.jpg,1,0,4,0,0,1,2
cad54cf7-6779254f.jpg,2,0,0,0,0,0,1
cad180c4-2edc9315.jpg,0,0,3,0,0,1,2
cad180c4-553ceeb1.jpg,2,0,3,0,0,1,2
cad180c4-d05b49f1.jpg,2,0,3,0,0,2,2
cad03998-075bb24b.jpg,1,0,1,0,0,1,2
cad03998-b2cc3e61.jpg,1,0,1,0,0,1,2
cad03998-e6cc2ae6.jpg,1,0,1,0,0,1,2
cad17389-cb0208f5.jpg,2,0,0,0,0,1,2
cad17389-f72e5365.jpg,2,0,0,0,0,1,2
cadb5cf7-31d9a0d7.jpg,2,0,4,0,0,1,2
cadb239d-499b1478.jpg,2,0,0,0,0,0,1
cadb239d-0776327a.jpg,2,0,0,0,0,0,1
cadb239d-a768df31.jpg,2,0,0,0,0,0,1
cadbd8df-9efc61fd.jpg,1,0,3,0,1,1,1
cadc60a4-0834935f.jpg,1,0,1,0,0,1,2
cadd00a0-4251d603.jpg,1,1,2,0,0,2,1
cadd00a0-efef6501.jpg,1,0,0,0,0,1,0
cade2aed-db2e9c98.jpg,1,0,4,0,1,1,2
cade2084-8fb02395.jpg,2,0,0,0,0,1,2
cade2084-71df1a4e.jpg,2,0,0,0,0,0,2
cade2084-5714bb13.jpg,2,0,0,0,0,1,2
cadf77c3-2857db38.jpg,1,0,0,0,0,2,2
cadf297e-457ef8ae.jpg,1,0,1,0,0,1,1
cadfb2fe-5dd5f809.jpg,2,1,3,0,1,0,2
cadfb2fe-708d6e3b.jpg,2,1,0,0,0,0,2
cadfb2fe-f43878a3.jpg,2,1,3,0,1,1,1
cae4f10f-54b690b0.jpg,1,0,2,0,0,2,1
cae4f10f-e5906613.jpg,1,0,2,0,0,2,2
cae6c88d-0db9c3ab.jpg,2,0,0,0,0,2,2
cae8e3d7-13803eef.jpg,2,0,0,0,0,0,3
cae29b60-b9d5bdb6.jpg,2,0,3,0,1,1,2
cae49ab7-c87d52c4.jpg,1,0,0,0,0,0,0
cae842b9-82d52302.jpg,1,0,4,0,1,2,2
cae881fa-02da1ae2.jpg,1,0,2,0,0,1,0
cae913d9-6df0f74b.jpg,2,0,0,0,0,1,2
cae913d9-e07a8369.jpg,2,0,0,0,0,0,1
cae23877-a1826db4.jpg,1,0,2,0,0,2,2
cae28701-5286ae2f.jpg,2,0,0,0,0,2,2
cae39588-8ea784d1.jpg,1,0,1,0,0,1,2
cae39588-58dd3092.jpg,1,0,1,0,0,2,2
cae73656-aeb2944f.jpg,1,1,0,0,0,1,2
cae77018-7bc11357.jpg,2,1,0,0,0,0,2
caea91fd-e457bf7b.jpg,2,1,0,0,0,1,2
caeb0fbb-410c10ca.jpg,1,0,5,0,0,1,2
caeb782d-4a20b7c4.jpg,0,0,4,0,0,1,0
caec69a1-75429ccd.jpg,2,0,0,0,0,1,2
caee33ed-136d6b7c.jpg,1,0,5,0,0,0,1
caee33ed-bb44010a.jpg,1,0,3,0,1,1,1
caf6d8fe-7650f811.jpg,2,1,0,0,0,1,1
caf9b4a2-dbf2a8a7.jpg,2,1,0,0,0,0,2
caf56f7a-1407df75.jpg,1,0,0,0,0,1,2
caf73e65-16760e37.jpg,2,1,0,0,0,1,0
caf73e65-99596d6e.jpg,2,0,0,0,0,0,3
caf91e5e-fbd7f315.jpg,2,1,0,0,0,0,0
caf380ad-52f6a603.jpg,1,0,0,0,0,1,2
caf380ad-83f39185.jpg,1,0,0,0,0,1,2
caf380ad-ee9a7699.jpg,1,0,1,0,0,1,2
caf5502b-8233af1b.jpg,1,0,4,0,0,2,2
caf6713b-1823e54e.jpg,2,1,0,0,0,2,2
caf8496d-6ce3dbda.jpg,1,1,4,0,0,0,2
caf92153-8fdace82.jpg,1,0,3,0,0,1,1
caf92153-cfcdf92a.jpg,1,0,3,0,0,1,1
cafa7c32-0d800808.jpg,2,1,4,0,0,1,2
cafae648-c3d4e13a.jpg,1,0,0,0,0,2,2
cafb3b52-f34e5454.jpg,2,1,0,0,0,1,2
cafb3e02-83c800ed.jpg,2,0,0,0,0,1,1
cafb3e6f-22f2007e.jpg,1,0,0,0,0,1,1
cafbae4e-1d69e770.jpg,2,0,0,0,0,0,0
cafbb9cb-c8d8b9df.jpg,2,0,0,0,0,1,2
cafca327-47cae51f.jpg,2,1,0,0,0,0,1
cafd4970-2592f52f.jpg,2,1,0,0,0,1,2
cafe3793-42a32ab9.jpg,1,0,5,0,0,2,3
cafe3793-f5638516.jpg,1,0,5,0,0,2,2
cafecee9-ae650f5f.jpg,2,1,0,0,0,0,2
caff5d9a-35754dcf.jpg,2,0,0,0,0,1,2
caff5d9a-e71dee8e.jpg,2,0,0,0,0,1,2
caff2200-238a0388.jpg,2,1,0,0,0,1,2
cb0ad251-7f86477e.jpg,2,0,0,0,0,1,2
cb0bdd89-5bdf8abc.jpg,1,0,0,0,0,0,2
cb0bdd89-f1ff3b69.jpg,1,0,0,0,0,0,0
cb0cece8-0bf1974e.jpg,1,1,5,0,0,0,2
cb0e6066-8c6456bf.jpg,1,0,4,0,0,0,0
cb1a59af-6df6a7ab.jpg,1,0,0,0,0,0,0
cb1d8d95-283dd8d2.jpg,1,0,2,0,0,1,0
cb1f05ca-28b96d3e.jpg,1,0,5,0,0,1,2
cb02bc12-00b2fbbb.jpg,1,0,2,0,0,0,2
cb2a851d-d0884eb5.jpg,1,0,0,0,0,0,2
cb2c6d0f-d4b068b0.jpg,0,0,3,1,1,1,2
cb2c801b-7b6283e5.jpg,1,0,5,0,0,1,0
cb2c801b-b5274dda.jpg,0,0,0,0,0,1,1
cb2e3d65-2d64ca0e.jpg,1,0,4,0,0,0,0
cb2fdf4d-1f6ec0ba.jpg,1,0,0,0,0,1,2
cb2fdf4d-4b15f621.jpg,1,0,2,0,0,1,2
cb2fdf4d-05fad7c1.jpg,1,0,1,0,0,1,0
cb2fe290-88aacceb.jpg,0,0,1,0,0,1,2
cb2fe290-7246a85f.jpg,1,0,2,0,0,2,2
cb2fe290-8786cd14.jpg,1,0,0,0,0,2,1
cb3d23f6-7e35e616.jpg,1,0,5,0,0,1,1
cb3e5d46-784f9106.jpg,2,1,0,0,0,0,2
cb3f27ee-14753cfb.jpg,2,1,3,0,1,0,1
cb3f27ee-b8c0119f.jpg,2,0,0,0,1,1,1
cb04fee6-31529064.jpg,2,1,0,0,0,1,2
cb04fee6-a44df902.jpg,2,1,0,0,0,0,2
cb04fee6-d1f397da.jpg,2,1,0,0,0,1,1
cb4bc75f-f2933f23.jpg,0,0,2,0,0,1,0
cb4bfc16-1a262bbd.jpg,1,0,0,0,0,1,2
cb4bfc16-3b250dbf.jpg,1,0,0,0,0,1,0
cb4bfc16-80e9d4a2.jpg,1,0,1,0,0,1,2
cb4cb2f3-074beab3.jpg,1,0,5,0,0,1,1
cb4d070c-20a30e53.jpg,2,0,0,0,0,0,2
cb4e8a30-20f681d7.jpg,2,1,0,0,0,1,2
cb05eaa9-f2430836.jpg,2,0,0,0,0,1,2
cb5e9e9c-317f73c1.jpg,1,0,1,0,0,1,2
cb5fa573-fa7df890.jpg,1,0,2,0,0,1,2
cb6b0c57-cf1fc33e.jpg,1,0,0,0,0,0,0
cb6c1298-6194924c.jpg,1,0,2,0,0,0,1
cb6cb98f-2132e482.jpg,2,0,0,0,0,2,2
cb6e5ba7-91566c19.jpg,0,0,2,0,0,1,2
cb6e5ba7-c6b079ba.jpg,1,0,2,0,0,1,1
cb6e5ba7-d95d09c9.jpg,2,1,0,0,0,1,2
cb6e675a-510b8a3d.jpg,1,0,2,0,0,1,2
